#ind	78	88	100	106	114
#BCLs	486.41	266.85	161.09	123.75	117.53
194.0	0.9564	0.0266	0.8627	0.6179	0.4311
196.0	0.9419	0.0158	0.9086	0.581	0.3897
198.0	0.9412	0.0241	0.9191	0.5597	0.362
200.0	0.94	0.027	0.9264	0.5377	0.3299
202.0	0.926	0.0202	0.9344	0.5193	0.2924
204.0	0.9142	0.0221	0.9421	0.4976	0.2614
206.0	0.9105	0.022	0.9424	0.4734	0.2183
208.0	0.9049	0.0226	0.9481	0.4561	0.1894
210.0	0.9032	0.024	0.9531	0.4376	0.1578
212.0	0.9046	0.0217	0.9568	0.4096	0.1209
214.0	0.8945	0.0116	0.9484	0.3791	0.0923
216.0	0.896	0.007	0.9513	0.3416	0.0753
218.0	0.8923	0.0	0.9482	0.3202	0.059
220.0	0.876	0.0067	0.946	0.2914	0.0492
222.0	0.8663	0.0096	0.9404	0.2628	0.0561
224.0	0.8543	0.0103	0.929	0.2351	0.0917
226.0	0.8431	0.0084	0.9119	0.215	0.1562
228.0	0.8318	0.0133	0.8967	0.2022	0.2564
230.0	0.8184	0.0107	0.8834	0.1884	0.3905
232.0	0.8048	0.0202	0.87	0.1689	0.5248
234.0	0.8001	0.0109	0.8437	0.1564	0.6503
236.0	0.7888	0.0138	0.82	0.1411	0.7704
238.0	0.777	0.0148	0.802	0.127	0.87
240.0	0.7569	0.0237	0.7873	0.1043	0.939
242.0	0.7422	0.0313	0.768	0.0921	0.9825
244.0	0.7285	0.0516	0.7554	0.0851	0.9757
246.0	0.7175	0.0476	0.7219	0.0772	0.9836
248.0	0.7076	0.0502	0.7045	0.084	0.9924
250.0	0.6987	0.0485	0.689	0.1097	0.9916
252.0	0.6877	0.0467	0.6681	0.1671	0.9802
254.0	0.6751	0.0454	0.6497	0.279	0.9852
256.0	0.6577	0.0433	0.632	0.39	0.9717
258.0	0.6416	0.0433	0.5992	0.5054	0.9704
260.0	0.6265	0.0463	0.5852	0.6257	0.9666
262.0	0.6011	0.0443	0.5563	0.7377	0.944
264.0	0.5828	0.0375	0.522	0.8282	0.9249
266.0	0.5695	0.0462	0.5012	0.9087	0.9084
268.0	0.5498	0.0479	0.4685	0.9448	0.8824
270.0	0.5355	0.0614	0.4379	0.9696	0.8617
272.0	0.5182	0.0722	0.4091	0.9796	0.8395
274.0	0.4966	0.099	0.3785	0.9886	0.7935
276.0	0.4784	0.1609	0.3461	0.9918	0.7685
278.0	0.4408	0.2608	0.3193	1.0	0.7487
280.0	0.4114	0.3678	0.2682	0.9898	0.7136
282.0	0.3818	0.4779	0.2308	0.977	0.6794
284.0	0.3493	0.581	0.1985	0.9667	0.6349
286.0	0.3111	0.6762	0.1612	0.9609	0.5964
288.0	0.2776	0.7621	0.1209	0.9416	0.579
290.0	0.2315	0.825	0.0989	0.9303	0.5338
292.0	0.2067	0.8564	0.0681	0.9125	0.4958
294.0	0.1721	0.8602	0.0574	0.8873	0.4619
296.0	0.1424	0.8747	0.0384	0.8738	0.423
298.0	0.1192	0.8911	0.015	0.8478	0.3883
300.0	0.1056	0.9084	0.0083	0.8225	0.3479
302.0	0.0934	0.927	0.0091	0.8117	0.2877
304.0	0.0833	0.9455	0.0058	0.7829	0.2471
306.0	0.0768	0.9546	0.0048	0.7739	0.208
308.0	0.0733	0.9691	0.0108	0.748	0.1841
310.0	0.0726	0.9799	0.0132	0.7134	0.1583
312.0	0.0688	0.9945	0.0241	0.6862	0.1349
314.0	0.0572	1.0	0.0216	0.6635	0.1095
316.0	0.0397	0.9906	0.0228	0.6162	0.101
318.0	0.0361	0.9847	0.007	0.5879	0.0983
320.0	0.0274	0.9807	0.0029	0.5328	0.084
322.0	0.0166	0.9821	0.0	0.4997	0.0614
324.0	0.0132	0.9802	0.0	0.4621	0.0434
326.0	0.0141	0.9619	0.0	0.4293	0.0399
328.0	0.0185	0.9474	0.0	0.39	0.0478
330.0	0.0192	0.9497	0.0	0.358	0.0251
332.0	0.0226	0.9427	0.0076	0.3151	0.0145
334.0	0.0175	0.9379	0.0132	0.2814	0.0
336.0	0.0165	0.9291	0.0259	0.2355	0.0093
338.0	0.0166	0.9124	0.038	0.2139	0.0245
340.0	0.0165	0.9036	0.0711	0.1722	0.0222
342.0	0.0127	0.8902	0.1456	0.1417	0.0396
344.0	0.0204	0.8813	0.2558	0.123	0.1098
346.0	0.0135	0.8652	0.3767	0.1056	0.213
